File_name,cut_time_1,cut_time_2
"0_1_2021_06_17_090407_Sound_Pa_SF0000002,0000.wav",25.48,80.81
"0_2_2021_06_17_091517_Sound_Pa_SF0000002,0000.wav",25.20,80.56
"0_3_2021_06_17_092721_Sound_Pa_SF0000002,0000.wav",25.10,80.48
"0_4_2021_06_17_094050_Sound_Pa_SF0000002,0000.wav",25.25,80.07
"0_5_2021_06_17_095438_Sound_Pa_SF0000002,0000.wav",24.31,79.55
"0_6_2021_06_17_100733_Sound_Pa_SF0000002,0000.wav",24.47,80.24
"0_7_2021_06_17_102035_Sound_Pa_SF0000002,0000.wav",24.89,80.81
"0_8_2021_06_17_104047_Sound_Pa_SF0000002,0000.wav",24.93,80.05
"0_9_2021_06_17_105536_Sound_Pa_SF0000002,0000.wav",24.89,80.02
"0_10_2021_06_17_110845_Sound_Pa_SF0000002,0000.wav",25.22,81.06
"0_11_2021_06_17_112933_Sound_Pa_SF0000002,0000.wav",25.18,80.51
"0_12_2021_06_17_114920_Sound_Pa_SF0000002,0000.wav",25.29,81.00
"0_13_2021_06_17_134557_Sound_Pa_SF0000002,0000.wav",24.88,79.96
"0_14_2021_06_17_140043_Sound_Pa_SF0000002,0000.wav",24.92,80.54
"0_15_2021_06_17_141528_Sound_Pa_SF0000002,0000.wav",25.18,80.38
"0_16_2021_06_17_143005_Sound_Pa_SF0000002,0000.wav",25.05,80.22
"0_17_2021_06_17_144821_Sound_Pa_SF0000002,0000.wav",25.10,80.60
"0_18_2021_06_17_150224_Sound_Pa_SF0000002,0000.wav",24.95,81.02
"0_19_2021_06_17_152121_Sound_Pa_SF0000002,0000.wav",24.87,80.36
"0_20_2021_06_17_153606_Sound_Pa_SF0000002,0000.wav",24.93,80.58
"0_21_2021_06_17_155609_Sound_Pa_SF0000002,0000.wav",24.25,79.96
"1_1_2021_07_08_095523_Sound_Pa_SF0000002,0000.wav",24.53,80.25
"1_2_2021_07_08_101934_Sound_Pa_SF0000002,0000.wav",24.64,80.14
"1_3_2021_07_08_103512_Sound_Pa_SF0000002,0000.wav",24.65,80.50
"1_4_2021_07_08_105101_Sound_Pa_SF0000002,0000.wav",24.45,80.11
"1_5_2021_07_08_110551_Sound_Pa_SF0000002,0000.wav",24.07,79.92
"1_6_2021_07_08_112530_Sound_Pa_SF0000002,0000.wav",25.00,80.75
"1_7_2021_07_08_114025_Sound_Pa_SF0000002,0000.wav",24.64,80.58
"1_8_2021_07_08_115537_Sound_Pa_SF0000002,0000.wav",24.25,79.96
"1_9_2021_07_08_123951_Sound_Pa_SF0000002,0000.wav",24.59,80.14
"1_10_2021_07_08_125653_Sound_Pa_SF0000002,0000.wav",24.73,81.10
"1_11_2021_07_08_131059_Sound_Pa_SF0000002,0000.wav",24.62,80.10
"1_12_2021_07_08_133004_Sound_Pa_SF0000002,0000.wav",24.55,80.49
"1_13_2021_07_08_135216_Sound_Pa_SF0000002,0000.wav",24.62,80.12
"1_14_2021_07_08_142154_Sound_Pa_SF0000002,0000.wav",24.53,79.94
"1_15_2021_07_08_162545_Sound_Pa_SF0000002,0000.wav",24.77,80.46
"1_16_2021_07_08_164415_Sound_Pa_SF0000002,0000.wav",24.83,80.83
"1_17_2021_07_08_165931_Sound_Pa_SF0000002,0000.wav",24.72,80.23
"1_18_2021_07_08_171513_Sound_Pa_SF0000002,0000.wav",24.79,80.46
"1_19_2021_07_08_173507_Sound_Pa_SF0000002,0000.wav",24.73,81.08
"1_20_2021_07_08_175732_Sound_Pa_SF0000002,0000.wav",24.25,79.96
"2_1_2021_08_05_120829_Sound_Pa_SF0000002,0000.wav",25.58,82.07
"2_2_2021_08_05_123145_Sound_Pa_SF0000002,0000.wav",24.44,81.30
"2_3_2021_08_05_124736_Sound_Pa_SF0000002,0000.wav",24.86,81.58
"2_4_2021_08_05_130406_Sound_Pa_SF0000002,0000.wav",24.92,81.29
"2_5_2021_08_05_132001_Sound_Pa_SF0000002,0000.wav",24.80,81.24
"2_6_2021_08_05_133527_Sound_Pa_SF0000002,0000.wav",25.44,82.02
"2_7_2021_08_05_135737_Sound_Pa_SF0000002,0000.wav",24.65,81.28
"2_8_2021_08_05_142807_Sound_Pa_SF0000002,0000.wav",24.25,80.57
"2_9_2021_08_05_144359_Sound_Pa_SF0000002,0000.wav",25.14,81.72
"2_10_2021_08_05_171531_Sound_Pa_SF0000002,0000.wav",24.74,81.06
"2_11_2021_08_05_173121_Sound_Pa_SF0000004,0000.wav",24.25,79.96
"2_12_2021_08_19_122626_Sound_Pa_SF0000002,0000.wav",24.46,80.16
"2_13_2021_08_19_124757_Sound_Pa_SF0000002,0000.wav",23.50,79.68
"2_14_2021_08_19_130234_Sound_Pa_SF0000002,0000.wav",23.60,79.32
"2_15_2021_08_19_131846_Sound_Pa_SF0000002,0000.wav",23.05,78.42
"2_16_2021_08_19_133359_Sound_Pa_SF0000002,0000.wav",23.75,79.58
"2_17_2021_08_19_135158_Sound_Pa_SF0000002,0000.wav",24.47,80.52
"2_18_2021_08_19_143917_Sound_Pa_SF0000002,0000.wav",24.52,80.33
"2_19_2021_08_19_152241_Sound_Pa_SF0000002,0000.wav",23.60,79.94
"2_20_2021_08_19_153903_Sound_Pa_SF0000002,0000.wav",24.31,79.72
"2_21_2021_08_19_155502_Sound_Pa_SF0000002,0000.wav",23.86,79.63
"3_1_2021_08_12_115910_Sound_Pa_SF0000002,0000.wav",23.64,79.28
"3_2_2021_08_12_125423_Sound_Pa_SF0000002,0000.wav",24.27,80.04
"3_3_2021_08_12_131721_Sound_Pa_SF0000002,0000.wav",22.64,78.68
"3_4_2021_08_12_133432_Sound_Pa_SF0000002,0000.wav",22.83,78.05
"3_5_2021_08_12_134820_Sound_Pa_SF0000002,0000.wav",22.86,78.01
"3_6_2021_08_12_140730_Sound_Pa_SF0000002,0000.wav",20.90,76.21
"3_7_2021_08_12_141936_Sound_Pa_SF0000002,0000.wav",23.15,78.30
"3_8_2021_08_12_143435_Sound_Pa_SF0000002,0000.wav",23.16,78.65
"3_9_2021_08_12_145047_Sound_Pa_SF0000002,0000.wav",22.70,78.01
"3_10_2021_08_12_161050_Sound_Pa_SF0000002,0000.wav",23.00,78.33
"3_14_2021_08_20_082149_Sound_Pa_SF0000002,0000.wav",23.58,78.88
"3_15_2021_08_20_083423_Sound_Pa_SF0000002,0000.wav",23.59,78.82
"3_16_2021_08_20_084849_Sound_Pa_SF0000002,0000.wav",23.04,78.77
"3_17_2021_08_20_090422_Sound_Pa_SF0000002,0000.wav",23.26,78.40
"3_18_2021_08_20_091712_Sound_Pa_SF0000002,0000.wav",22.80,78.62
"3_19_2021_08_20_094229_Sound_Pa_SF0000002,0000.wav",23.00,78.70
"3_20_2021_08_20_095638_Sound_Pa_SF0000002,0000.wav",23.25,78.80
"3_21_2021_08_20_101033_Sound_Pa_SF0000002,0000.wav",22.58,78.32
"3_22_2021_08_20_102553_Sound_Pa_SF0000002,0000.wav",23.09,78.24
"3_23_2021_08_20_104304_Sound_Pa_SF0000002,0000.wav",23.00,78.27